№ рішення,Форма судового рішення,Дата ухвалення рішення,Дата набрання законної сили,Форма судочинства,№ судової справи,Назва суду,Суддя
5721504,Постанова,07.04.2008,,Адміністративне,2а-358/2008,Ірпінський міський суд Київської області,Пархоменко О.В.
5166586,Постанова,07.04.2008,,Адміністративне,2-а-738/2008,Таращанський районний суд Київської області,Бойко М.Г.
5368384,Рішення,07.04.2008,,Цивільне,2-0-12/08,Володарський районний суд Київської області,Ярмоленко Г.Л.
5599425,Постанова,07.04.2008,,Справи про адміністративні правопорушення,3-608/2008,Володарський районний суд Київської області,Юзвик М.М.
5164886,Постанова,07.04.2008,,Справи про адміністративні правопорушення,3-698/2008,Володарський районний суд Київської області,Юзвик М.М.
5372511,Постанова,07.04.2008,,Справи про адміністративні правопорушення,3-677/2008,Володарський районний суд Київської області,Юзвик М.М.
5909206,Постанова,07.04.2008,,Справи про адміністративні правопорушення,3-601/2008,Володарський районний суд Київської області,Юзвик М.М.
5162247,Ухвала,07.04.2008,,Цивільне,2-216/2008,Таращанський районний суд Київської області,Бабоїд О.М.
5696098,Рішення,07.04.2008,,Цивільне,2-1279\2008,Бориспільський міськрайонний суд Київської області,Мельник О.О.
5386642,Рішення,07.04.2008,,Цивільне,2-1141/2008,Бориспільський міськрайонний суд Київської області,Левченко А.В.
1690709,Рішення,07.04.2008,,Цивільне,22ц-1075/2008,Апеляційний суд Київської області,Яворський М.А.
1832054,Рішення,07.04.2008,,Цивільне,2-413/2008,Бородянський районний суд Київської області,Унятицький Д.Є.
1563345,Постанова,07.04.2008,,Господарське,19/132,Київський міжобласний апеляційний господарський суд,Шевченко В.Ю.
1535376,Постанова,07.04.2008,,Господарське,11/407-07,Київський міжобласний апеляційний господарський суд,Шевченко В.Ю.
98496876,Рішення,07.04.2008,17.04.2008,Цивільне,2-60/2008,Білоцерківський міськрайонний суд Київської області,Островська О.О.
1782908,Постанова,07.04.2008,,Кримінальне,1-52/2008,Яготинський районний суд Київської області,
1554592,Ухвала,08.04.2008,,Господарське,15/048-08,Господарський суд Київської області,Рябцева О.О.
1554649,Рішення,08.04.2008,,Господарське,15/053-08,Господарський суд Київської області,Рябцева О.О.
1529764,Ухвала,08.04.2008,,Господарське,04-11-05/93,Київський міжобласний апеляційний господарський суд,Жук Г.А.
1534268,Постанова,08.04.2008,,Господарське,21/270,Київський міжобласний апеляційний господарський суд,Мостова Г.І.
1534269,Постанова,08.04.2008,,Господарське,21/271,Київський міжобласний апеляційний господарський суд,Мостова Г.І.
1534270,Постанова,08.04.2008,,Господарське,21/272,Київський міжобласний апеляційний господарський суд,Мостова Г.І.
1563075,Ухвала,08.04.2008,,Господарське,б14/165-08/13,Господарський суд Київської області,Наріжний С.Ю.
1563101,Постанова,08.04.2008,,Господарське,19/211,Київський міжобласний апеляційний господарський суд,Писана Т.П.
1535596,Ухвала,08.04.2008,,Господарське,329/11б-06,Київський міжобласний апеляційний господарський суд,Ільєнок Т.В.
1540873,Ухвала,08.04.2008,,Господарське,332/20-06/10-07,Господарський суд Київської області,Рябцева О.О.
1570949,Постанова,08.04.2008,,Господарське,9/370-07,Київський міжобласний апеляційний господарський суд,Фаловська І.М.
1572139,Постанова,08.04.2008,,Господарське,16/8-19/195,Київський міжобласний апеляційний господарський суд,Фаловська І.М.
1672495,Ухвала,08.04.2008,,Господарське,б18/647-07,Господарський суд Київської області,Кошик А.Ю.
1672497,Ухвала,08.04.2008,,Господарське,б18/644-07,Господарський суд Київської області,Кошик А.Ю.
1630551,Ухвала,08.04.2008,,Господарське,б14/270-07,Господарський суд Київської області,Короткевич О.Є.
1631546,Ухвала,08.04.2008,,Господарське,5/001-08,Господарський суд Київської області,Подоляк Ю.В.
1632770,Рішення,08.04.2008,,Господарське,7/090-08,Господарський суд Київської області,Антонова В.М.
1632967,Ухвала,08.04.2008,,Господарське,15/060-08,Господарський суд Київської області,Рябцева О.О.
1633261,Постанова,08.04.2008,,Господарське,а7/097-08,Господарський суд Київської області,Антонова В.М.
1758446,Ухвала,08.04.2008,,Господарське,к13/023-08,Господарський суд Київської області,Наріжний С.Ю.
1909994,Постанова,08.04.2008,,Господарське,а7/120-08,Господарський суд Київської області,Антонова В.М.
1877198,Постанова,08.04.2008,,Господарське,а7/116-08,Господарський суд Київської області,Антонова В.М.
2804157,Ухвала,08.04.2008,,Господарське,02-03/,Господарський суд Київської області,Кошик А.Ю.
2865163,Ухвала,08.04.2008,,Господарське,а18/145-08,Господарський суд Київської області,Кошик А.Ю.
2865165,Ухвала,08.04.2008,,Господарське,а18/147-08,Господарський суд Київської області,Кошик А.Ю.
3254131,Постанова,08.04.2008,,Господарське,а18/161-08,Господарський суд Київської області,Кошик А.Ю.
3675660,Ухвала,08.04.2008,,Господарське,395/14б-06,Господарський суд Київської області,Кошик А.Ю.
3676545,Ухвала,08.04.2008,,Господарське,б18/646-07,Господарський суд Київської області,Кошик А.Ю.
1534267,Постанова,08.04.2008,,Господарське,21/273,Київський міжобласний апеляційний господарський суд,Мостова Г.І.
1529767,Ухвала,08.04.2008,,Господарське,394/6-06,Київський міжобласний апеляційний господарський суд,Рудченко С.Г.
1533877,Постанова,08.04.2008,,Господарське,13/444-07,Київський міжобласний апеляційний господарський суд,Мостова Г.І.
1633269,Ухвала,08.04.2008,,Господарське,10/108-08,Господарський суд Київської області,Тищенко О.В.
1563100,Ухвала,08.04.2008,,Господарське,19/211,Київський міжобласний апеляційний господарський суд,Писана Т.П.
1541277,Ухвала,08.04.2008,,Господарське,б14/449-07,Господарський суд Київської області,Наріжний С.Ю.
1569746,Ухвала,08.04.2008,,Господарське,246/13-05,Київський міжобласний апеляційний господарський суд,Зеленіна Н.І.
1541459,Ухвала,08.04.2008,,Господарське,б14/062-08,Господарський суд Київської області,Наріжний С.Ю.
1542473,Ухвала,08.04.2008,,Господарське,а14/190-08/17,Господарський суд Київської області,Суховий В.Г.
1571477,Постанова,08.04.2008,,Господарське,10/447-07,Київський міжобласний апеляційний господарський суд,Фаловська І.М.
1630014,Ухвала,08.04.2008,,Господарське,235/2б-2006,Господарський суд Київської області,Короткевич О.Є.
1630018,Ухвала,08.04.2008,,Господарське,236/2б-2006,Господарський суд Київської області,Короткевич О.Є.
1630019,Ухвала,08.04.2008,,Господарське,236/2б-2006,Господарський суд Київської області,Короткевич О.Є.
1630233,Ухвала,08.04.2008,,Господарське,б14/007-07,Господарський суд Київської області,Короткевич О.Є.
1630235,Ухвала,08.04.2008,,Господарське,б14/008-07,Господарський суд Київської області,Короткевич О.Є.
1630236,Ухвала,08.04.2008,,Господарське,б14/008-07,Господарський суд Київської області,Короткевич О.Є.
1630579,Ухвала,08.04.2008,,Господарське,б14/279-07,Господарський суд Київської області,Короткевич О.Є.
1653325,Рішення,08.04.2008,,Господарське,10/114-08,Господарський суд Київської області,Тищенко О.В.
1653326,Рішення,08.04.2008,,Господарське,10/115-08,Господарський суд Київської області,Тищенко О.В.
1683926,Ухвала,08.04.2008,,Господарське,а7/092-08,Господарський суд Київської області,Антонова В.М.
1683930,Постанова,08.04.2008,,Господарське,а7/094-08,Господарський суд Київської області,Антонова В.М.
1708086,Постанова,08.04.2008,,Господарське,14/243-07,Київський міжобласний апеляційний господарський суд,Писана Т.П.
1672496,Ухвала,08.04.2008,,Господарське,б18/645-07,Господарський суд Київської області,Кошик А.Ю.
1672685,Ухвала,08.04.2008,,Господарське,б18/682-07,Господарський суд Київської області,Кошик А.Ю.
1741538,Рішення,08.04.2008,,Господарське,15/049-08,Господарський суд Київської області,Рябцева О.О.
1741539,Рішення,08.04.2008,,Господарське,15/047-08,Господарський суд Київської області,Рябцева О.О.
1674211,Постанова,08.04.2008,,Господарське,б18/155-08,Господарський суд Київської області,Кошик А.Ю.
1674212,Постанова,08.04.2008,,Господарське,б18/156-08,Господарський суд Київської області,Кошик А.Ю.
1674213,Постанова,08.04.2008,,Господарське,б18/157-08,Господарський суд Київської області,Кошик А.Ю.
1748905,Постанова,08.04.2008,,Господарське,22/82,Київський міжобласний апеляційний господарський суд,Мостова Г.І.
1774343,Рішення,08.04.2008,,Господарське,5/083-08,Господарський суд Київської області,Подоляк Ю.В.
1877201,Постанова,08.04.2008,,Господарське,а7/123-08,Господарський суд Київської області,Антонова В.М.
1877207,Постанова,08.04.2008,,Господарське,а7/115-08,Господарський суд Київської області,Антонова В.М.
2804142,Ухвала,08.04.2008,,Господарське,а18/256-08,Господарський суд Київської області,Кошик А.Ю.
2865164,Ухвала,08.04.2008,,Господарське,а18/148-08,Господарський суд Київської області,Кошик А.Ю.
2865166,Ухвала,08.04.2008,,Господарське,а18/146-08,Господарський суд Київської області,Кошик А.Ю.
2865175,Ухвала,08.04.2008,,Господарське,а18/149-08,Господарський суд Київської області,Кошик А.Ю.
2943021,Ухвала,08.04.2008,,Господарське,375/12-04,Київський міжобласний апеляційний господарський суд,Фаловська І.М.
3139341,Ухвала,08.04.2008,,Господарське,02-03/,Господарський суд Київської області,Кошик А.Ю.
3675164,Ухвала,08.04.2008,,Господарське,422/2б-2003,Господарський суд Київської області,Кошик А.Ю.
3675512,Ухвала,08.04.2008,,Господарське,244/18б-06,Господарський суд Київської області,Кошик А.Ю.
3675769,Ухвала,08.04.2008,,Господарське,а18/085-07,Господарський суд Київської області,Кошик А.Ю.
5769783,Ухвала,08.04.2008,,Господарське,18/356-07,Господарський суд Київської області,Кошик А.Ю.
1630017,Ухвала,08.04.2008,,Господарське,235/2б-2006,Господарський суд Київської області,Короткевич О.Є.
1630234,Ухвала,08.04.2008,,Господарське,б14/007-07,Господарський суд Київської області,Короткевич О.Є.
1630552,Ухвала,08.04.2008,,Господарське,б14/270-07,Господарський суд Київської області,Короткевич О.Є.
1630578,Ухвала,08.04.2008,,Господарське,б14/279-07,Господарський суд Київської області,Короткевич О.Є.
1632731,Постанова,08.04.2008,,Господарське,а15/055-08,Господарський суд Київської області,Рябцева О.О.
1562895,Рішення,08.04.2008,,Господарське,13/043-08,Господарський суд Київської області,Наріжний С.Ю.
1563089,Ухвала,08.04.2008,,Господарське,13/055-08,Господарський суд Київської області,Наріжний С.Ю.
1531099,Ухвала,08.04.2008,,Господарське,02/5705,Київський міжобласний апеляційний господарський суд,Писана Т.П.
1541708,Постанова,08.04.2008,,Господарське,147/9-2005/7/14/5-07,Київський міжобласний апеляційний господарський суд,Мазур Л.М.
1535375,Ухвала,08.04.2008,,Господарське,15/314-07,Київський міжобласний апеляційний господарський суд,Писана Т.П.
1535598,Ухвала,08.04.2008,,Господарське,160/4-04,Київський міжобласний апеляційний господарський суд,Мазур Л.М.
1535893,Ухвала,08.04.2008,,Господарське,02-03/413/8,Київський міжобласний апеляційний господарський суд,Ільєнок Т.В.
1877196,Постанова,08.04.2008,,Господарське,а7/113-08,Господарський суд Київської області,Антонова В.М.
1877202,Постанова,08.04.2008,,Господарське,а7/124-08,Господарський суд Київської області,Антонова В.М.
1708079,Постанова,08.04.2008,,Господарське,06/4803,Київський міжобласний апеляційний господарський суд,Мостова Г.І.
2804158,Ухвала,08.04.2008,,Господарське,а18/228-08,Господарський суд Київської області,Кошик А.Ю.
3139221,Ухвала,08.04.2008,,Господарське,б14/184-08,Господарський суд Київської області,Кошик А.Ю.
2865148,Постанова,08.04.2008,,Господарське,а18/152-08,Господарський суд Київської області,Кошик А.Ю.
2990506,Ухвала,08.04.2008,,Господарське,10/107-07,Київський міжобласний апеляційний господарський суд,Фаловська І.М.
3384740,Постанова,08.04.2008,,Господарське,а18/160-08,Господарський суд Київської області,Кошик А.Ю.
2865147,Постанова,08.04.2008,,Господарське,а18/153-08,Господарський суд Київської області,Кошик А.Ю.
